#NTIMES:    65
#NSTAGES:     4
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           mn0           mn1           mn2           mn3
    6.998490E+04   1.0000E-099   9.9947E-001   5.3339E-004   4.3281E-022
    6.999922E+04   1.0000E-099   9.9950E-001   4.9995E-004   3.1131E-022
    6.999997E+04   1.0000E-099   9.9950E-001   4.9573E-004   2.9426E-022
#TIME:     0.666
#NVEL: 115
#vel_mid[km/s]           mn0           mn1           mn2           mn3
    8.772128E+02   1.0000E-099   2.6228E-013   5.0718E-006   9.9999E-001
    8.833155E+02   1.0000E-099   2.6228E-013   5.0718E-006   9.9999E-001
    9.018795E+02   1.0000E-099   2.6228E-013   5.0718E-006   9.9999E-001
    9.401862E+02   1.0000E-099   2.6229E-013   5.0719E-006   9.9999E-001
    1.001110E+03   1.0000E-099   2.6228E-013   5.0719E-006   9.9999E-001
    1.062646E+03   1.0000E-099   2.6223E-013   5.0713E-006   9.9999E-001
    1.127988E+03   1.0000E-099   2.6196E-013   5.0684E-006   9.9999E-001
    1.197348E+03   1.0000E-099   2.6174E-013   5.0654E-006   9.9999E-001
    1.270973E+03   1.0000E-099   2.6153E-013   5.0615E-006   9.9999E-001
    1.349125E+03   1.0000E-099   2.4815E-013   4.9202E-006   1.0000E+000
    1.432083E+03   1.0000E-099   1.5633E-013   3.8574E-006   1.0000E+000
    1.520141E+03   1.0000E-099   9.0350E-014   2.8991E-006   1.0000E+000
    1.613615E+03   1.0000E-099   6.3760E-014   2.4229E-006   1.0000E+000
    1.712836E+03   1.0000E-099   4.8928E-014   2.1143E-006   1.0000E+000
    1.818158E+03   1.0000E-099   3.5153E-014   1.7837E-006   1.0000E+000
    1.929957E+03   1.0000E-099   2.3932E-014   1.4656E-006   1.0000E+000
    2.048630E+03   1.0000E-099   1.6758E-014   1.2221E-006   1.0000E+000
    2.174600E+03   1.0000E-099   1.0758E-014   9.7598E-007   1.0000E+000
    2.308316E+03   1.0000E-099   6.7778E-015   7.7289E-007   1.0000E+000
    2.450254E+03   1.0000E-099   4.1025E-015   6.0007E-007   1.0000E+000
    2.600920E+03   1.0000E-099   2.6121E-015   4.7809E-007   1.0000E+000
    2.760850E+03   1.0000E-099   1.9149E-015   4.0904E-007   1.0000E+000
    2.930615E+03   1.0000E-099   1.4837E-015   3.5990E-007   1.0000E+000
    3.110818E+03   1.0000E-099   1.1742E-015   3.2015E-007   1.0000E+000
    3.302102E+03   1.0000E-099   9.8707E-016   2.9360E-007   1.0000E+000
    3.505148E+03   1.0000E-099   8.7135E-016   2.7600E-007   1.0000E+000
    3.720679E+03   1.0000E-099   7.7237E-016   2.6009E-007   1.0000E+000
    3.949463E+03   1.0000E-099   6.5919E-016   2.4063E-007   1.0000E+000
    4.192316E+03   1.0000E-099   6.4767E-016   2.3891E-007   1.0000E+000
    4.450101E+03   1.0000E-099   6.8317E-016   2.4546E-007   1.0000E+000
    4.723737E+03   1.0000E-099   5.8472E-016   2.2691E-007   1.0000E+000
    5.014199E+03   1.0000E-099   4.1506E-016   1.9111E-007   1.0000E+000
    5.322522E+03   1.0000E-099   3.3497E-016   1.7165E-007   1.0000E+000
    5.649804E+03   1.0000E-099   3.0650E-016   1.6420E-007   1.0000E+000
    5.997210E+03   1.0000E-099   2.8702E-016   1.5897E-007   1.0000E+000
    6.365978E+03   1.0000E-099   2.7031E-016   1.5438E-007   1.0000E+000
    6.757421E+03   1.0000E-099   2.6364E-016   1.5256E-007   1.0000E+000
    7.172935E+03   1.0000E-099   2.5726E-016   1.5084E-007   1.0000E+000
    7.613998E+03   1.0000E-099   2.4267E-016   1.4677E-007   1.0000E+000
    8.082182E+03   1.0000E-099   2.3922E-016   1.4602E-007   1.0000E+000
    8.579155E+03   1.0000E-099   2.5250E-016   1.5036E-007   1.0000E+000
    9.106686E+03   1.0000E-099   2.7968E-016   1.5890E-007   1.0000E+000
    9.666656E+03   1.0000E-099   3.5708E-016   1.8089E-007   1.0000E+000
    1.026106E+04   1.0000E-099   5.7539E-016   2.3251E-007   1.0000E+000
    1.089201E+04   1.0000E-099   1.2842E-015   3.5654E-007   1.0000E+000
    1.156176E+04   1.0000E-099   4.5868E-015   7.1219E-007   1.0000E+000
    1.227269E+04   1.0000E-099   2.7208E-014   1.9349E-006   1.0000E+000
    1.302734E+04   1.0000E-099   1.7310E-013   5.6452E-006   9.9999E-001
    1.382861E+04   1.0000E-099   1.2083E-012   1.8079E-005   9.9998E-001
    1.462901E+04   1.0000E-099   3.3297E-011   1.3863E-004   9.9986E-001
