#NTIMES:    65
#NSTAGES:     8
#TIMES[d]:     0.500    0.550    0.666    0.733    0.806    0.887    0.976    1.074    1.181    1.300    1.430    1.573    1.730    1.900    2.090    2.300    2.530    2.783    3.061    3.367    3.704    4.074    4.481    4.929    5.422    5.964    6.560    7.216    7.938    8.732    9.600   10.560   11.620   12.780   14.060   15.470   17.020   18.720   20.590   22.650   24.910   27.400   30.140   33.150   36.460   40.110   44.120   48.530   53.380   58.720   64.590   71.050   78.200   86.000   94.600  104.100  114.500  126.000  138.600  152.500  167.800  184.600  203.100  223.400  245.800
#
#TIME:     0.500
#NVEL: 115
#vel_mid[km/s]           ni0           ni1           ni2           ni3           ni4           ni5           ni6           ni7
    1.115637E+03   1.0000E-099   3.7289E-027   2.9538E-020   7.4675E-014   1.3382E-008   1.8689E-004   1.1354E-001   8.8627E-001
    1.184691E+03   1.0000E-099   3.6463E-027   2.8878E-020   7.3114E-014   1.3133E-008   1.8424E-004   1.1268E-001   8.8714E-001
    1.258018E+03   1.0000E-099   3.4712E-027   2.7484E-020   6.9812E-014   1.2606E-008   1.7860E-004   1.1082E-001   8.8901E-001
    1.335885E+03   1.0000E-099   3.1127E-027   2.4625E-020   6.2992E-014   1.1507E-008   1.6663E-004   1.0677E-001   8.9306E-001
    1.418571E+03   1.0000E-099   1.3772E-027   1.1340E-020   3.1429E-014   6.3624E-009   1.0756E-004   8.4748E-002   9.1514E-001
    1.506375E+03   1.0000E-099   8.6182E-031   1.1269E-023   6.8564E-017   3.6068E-011   2.3732E-006   1.0820E-002   9.8918E-001
    1.599613E+03   1.0000E-099   4.4823E-031   6.1935E-024   4.0754E-017   2.3449E-011   1.7353E-006   9.1395E-003   9.9086E-001
    1.698623E+03   1.0000E-099   3.5465E-032   5.9412E-025   5.2376E-018   4.2360E-012   4.9642E-007   4.6324E-003   9.9537E-001
    1.803761E+03   1.0000E-099   1.2930E-032   2.2650E-025   2.2043E-018   2.0189E-012   2.8561E-007   3.4128E-003   9.9659E-001
    1.915407E+03   1.0000E-099   3.9617E-034   9.0465E-027   1.3208E-019   1.9371E-013   5.1687E-008   1.3486E-003   9.9865E-001
    2.033963E+03   1.0000E-099   1.0154E-034   2.5484E-027   4.3412E-020   7.6348E-014   2.6172E-008   9.3096E-004   9.9907E-001
    2.159857E+03   1.0000E-099   5.5794E-036   1.7516E-028   4.2032E-021   1.0989E-014   6.4172E-009   4.3526E-004   9.9956E-001
    2.293544E+03   1.0000E-099   4.3192E-037   1.6967E-029   5.5953E-022   2.0976E-015   1.9553E-009   2.3037E-004   9.9977E-001
