#NTIMES: 50
#NSTAGES: 4
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL: 78
#vel_mid[km/s] si0 si1 si2 si3
19260.76 4.2217e-06 2.4211e-01 6.6562e-01 9.2265e-02
20034.10 2.0696e-06 1.4302e-01 7.1731e-01 1.3967e-01
20838.00 1.6821e-06 1.4149e-01 7.1585e-01 1.4265e-01
21647.97 1.4355e-06 1.3675e-01 7.0696e-01 1.5629e-01
22447.94 1.0958e-06 1.1763e-01 6.9696e-01 1.8540e-01
23245.88 1.1163e-06 1.5131e-01 6.0481e-01 2.4388e-01
24052.47 9.1212e-07 1.5906e-01 5.7862e-01 2.6232e-01
24867.72 1.0699e-06 2.0434e-01 5.2507e-01 2.7059e-01
25698.86 6.1767e-07 1.2088e-01 5.3597e-01 3.4314e-01
26587.16 6.1472e-07 1.3551e-01 4.6570e-01 3.9878e-01
27637.54 5.7110e-07 1.5412e-01 4.2159e-01 4.2428e-01
28986.97 3.7258e-07 1.0845e-01 3.9387e-01 4.9768e-01
#TIME: 207.87
#NVEL: 78
#vel_mid[km/s] si0 si1 si2 si3
440.10 1.8059e-04 9.2243e-01 7.5038e-02 2.3540e-03
886.22 1.4309e-04 9.3456e-01 6.3176e-02 2.1225e-03
906.14 2.6836e-04 9.3250e-01 6.5112e-02 2.1202e-03
944.43 2.2671e-04 9.2949e-01 6.8070e-02 2.2112e-03
999.11 2.5755e-04 9.2868e-01 6.8793e-02 2.2731e-03
1060.83 3.1584e-04 9.3188e-01 6.5691e-02 2.1172e-03
1125.62 3.2478e-04 9.3151e-01 6.5955e-02 2.2105e-03
1194.38 2.5379e-04 9.3040e-01 6.7070e-02 2.2718e-03
1267.34 2.8471e-04 9.3445e-01 6.3161e-02 2.1009e-03
1344.75 2.9875e-04 9.3462e-01 6.3097e-02 1.9866e-03
1426.89 2.3809e-04 9.3364e-01 6.4120e-02 2.0060e-03
1514.05 2.3837e-04 9.3785e-01 6.0069e-02 1.8435e-03
1606.54 2.9034e-04 9.2920e-01 6.8387e-02 2.1185e-03
1704.67 3.0009e-04 9.3588e-01 6.1942e-02 1.8784e-03
1808.80 2.2672e-04 9.3430e-01 6.3479e-02 1.9913e-03
1919.29 2.4050e-04 9.3250e-01 6.5220e-02 2.0424e-03
2036.53 1.7629e-04 9.3371e-01 6.4128e-02 1.9898e-03
2160.92 2.0348e-04 9.2739e-01 7.0098e-02 2.3098e-03
2292.92 1.8250e-04 9.2047e-01 7.6645e-02 2.7057e-03
2432.98 1.6174e-04 9.1155e-01 8.5078e-02 3.2119e-03
2581.60 1.3545e-04 9.0493e-01 9.1242e-02 3.6917e-03
2739.29 1.2811e-04 8.8859e-01 1.0669e-01 4.5953e-03
2906.62 1.1474e-04 8.8323e-01 1.1147e-01 5.1855e-03
3084.17 8.9524e-05 8.6062e-01 1.3247e-01 6.8246e-03
3272.56 7.3975e-05 8.2297e-01 1.6726e-01 9.6989e-03
3472.46 5.3513e-05 7.7129e-01 2.1467e-01 1.3986e-02
3684.57 3.9461e-05 7.3233e-01 2.4892e-01 1.8712e-02
3909.64 2.6477e-05 6.5679e-01 3.1579e-01 2.7391e-02
4148.46 2.4738e-05 6.6327e-01 3.0876e-01 2.7946e-02
4401.86 2.5334e-05 6.9063e-01 2.8489e-01 2.4461e-02
4670.75 2.1508e-05 6.8414e-01 2.9052e-01 2.5319e-02
4956.05 1.0856e-05 5.8823e-01 3.7470e-01 3.7055e-02
5258.79 4.0766e-06 3.8696e-01 5.4651e-01 6.6523e-02
5580.02 1.0549e-06 1.6127e-01 7.3082e-01 1.0791e-01
5920.87 3.8847e-07 7.9952e-02 7.8182e-01 1.3823e-01
6282.54 2.3497e-07 5.9199e-02 7.8794e-01 1.5286e-01
6666.30 1.7705e-07 4.8312e-02 7.8916e-01 1.6253e-01
7073.50 1.8232e-07 5.0274e-02 7.8886e-01 1.6087e-01
7505.58 1.9646e-07 5.3899e-02 7.7794e-01 1.6817e-01
7964.05 2.4564e-07 6.3885e-02 7.7381e-01 1.6230e-01
8450.53 4.7559e-07 1.0271e-01 7.5332e-01 1.4397e-01
8966.72 1.3973e-06 2.2377e-01 6.6310e-01 1.1312e-01
9514.44 3.4896e-06 3.8012e-01 5.3606e-01 8.3821e-02
10095.62 7.3805e-06 5.2419e-01 4.1787e-01 5.7936e-02
10712.30 1.2925e-05 6.1151e-01 3.4425e-01 4.4229e-02
11366.65 2.0759e-05 6.6450e-01 2.9912e-01 3.6362e-02
12061.10 2.4659e-05 6.8399e-01 2.8131e-01 3.4675e-02
12793.43 2.5180e-05 6.7748e-01 2.8670e-01 3.5797e-02
13528.61 2.3757e-05 6.8782e-01 2.7611e-01 3.6043e-02
14194.74 1.9170e-05 6.7377e-01 2.8641e-01 3.9804e-02
14757.77 1.5592e-05 6.1480e-01 3.3794e-01 4.7250e-02
15240.48 1.8078e-05 6.8465e-01 2.8091e-01 3.4423e-02
15646.99 2.4568e-05 6.8825e-01 2.8836e-01 2.3364e-02
15960.30 4.1313e-05 7.8496e-01 2.0405e-01 1.0954e-02
16187.41 4.8043e-05 7.8447e-01 2.0600e-01 9.4793e-03
16354.17 4.6121e-05 7.3511e-01 2.5436e-01 1.0483e-02
16484.18 4.4786e-05 7.4519e-01 2.4363e-01 1.1138e-02
16593.12 3.5144e-05 7.2134e-01 2.6383e-01 1.4802e-02
16691.99 2.5638e-05 6.2483e-01 3.5332e-01 2.1830e-02
16788.59 2.3429e-05 5.8470e-01 3.9210e-01 2.3175e-02
16888.37 2.0170e-05 5.9650e-01 3.7914e-01 2.4339e-02
16998.79 1.8208e-05 5.3527e-01 4.3225e-01 3.2465e-02
17146.37 1.3851e-05 4.5980e-01 4.9671e-01 4.3479e-02
17415.23 1.3024e-05 4.3817e-01 5.1818e-01 4.3632e-02
17888.12 7.7265e-06 3.4029e-01 5.9099e-01 6.8712e-02
18532.37 4.4032e-06 2.2206e-01 7.0089e-01 7.7046e-02
19260.76 3.5082e-06 1.9673e-01 7.0358e-01 9.9686e-02
20034.10 2.6188e-06 1.9497e-01 6.8243e-01 1.2260e-01
20838.00 2.3686e-06 1.9920e-01 6.6743e-01 1.3337e-01
21647.97 1.8093e-06 1.6714e-01 6.7575e-01 1.5710e-01
22447.94 1.1241e-06 1.2564e-01 6.1540e-01 2.5896e-01
23245.88 7.2971e-07 9.9230e-02 6.6380e-01 2.3697e-01
24052.47 5.9260e-07 9.0414e-02 6.2934e-01 2.8025e-01
24867.72 9.2641e-07 1.7300e-01 5.3680e-01 2.9021e-01
25698.86 5.4524e-07 1.2366e-01 5.2045e-01 3.5590e-01
26587.16 3.3295e-07 7.8309e-02 5.0173e-01 4.1996e-01
27637.54 3.6049e-07 1.0179e-01 4.7504e-01 4.2317e-01
28986.97 1.7042e-07 4.9172e-02 3.5293e-01 5.9790e-01
#TIME: 210.86
#NVEL: 78
#vel_mid[km/s] si0 si1 si2 si3
440.10 2.4459e-04 9.2494e-01 7.2466e-02 2.3482e-03
886.22 3.7368e-04 9.4301e-01 5.4954e-02 1.6621e-03
906.14 7.2492e-04 9.3724e-01 6.0062e-02 1.9697e-03
944.43 2.9710e-04 9.2924e-01 6.8221e-02 2.2372e-03
999.11 3.1842e-04 9.2995e-01 6.7517e-02 2.2111e-03
1060.83 3.3716e-04 9.2482e-01 7.2395e-02 2.4516e-03
1125.62 5.6686e-04 9.3465e-01 6.2714e-02 2.0688e-03
1194.38 3.1551e-04 9.2910e-01 6.8352e-02 2.2362e-03
1267.34 2.5802e-04 9.2957e-01 6.7840e-02 2.3362e-03
1344.75 3.6288e-04 9.3164e-01 6.5973e-02 2.0270e-03
1426.89 3.6829e-04 9.2991e-01 6.7571e-02 2.1495e-03
1514.05 2.8496e-04 9.3170e-01 6.5961e-02 2.0576e-03
1606.54 1.9048e-04 9.3634e-01 6.1626e-02 1.8397e-03
1704.67 1.9922e-04 9.3319e-01 6.4605e-02 2.0079e-03
1808.80 2.2358e-04 9.3314e-01 6.4628e-02 2.0065e-03
1919.29 2.1119e-04 9.3670e-01 6.1226e-02 1.8590e-03
2036.53 2.1935e-04 9.3378e-01 6.3948e-02 2.0563e-03
2160.92 2.3311e-04 9.3436e-01 6.3410e-02 1.9982e-03
2292.92 1.8466e-04 9.2631e-01 7.1110e-02 2.3935e-03
2432.98 1.5716e-04 9.1820e-01 7.8786e-02 2.8622e-03
2581.60 1.4473e-04 9.0940e-01 8.7030e-02 3.4212e-03
2739.29 1.0681e-04 8.9048e-01 1.0489e-01 4.5217e-03
2906.62 1.1351e-04 8.8028e-01 1.1427e-01 5.3385e-03
3084.17 9.4587e-05 8.6492e-01 1.2833e-01 6.6517e-03
3272.56 7.3172e-05 8.2451e-01 1.6585e-01 9.5674e-03
3472.46 5.8422e-05 7.7373e-01 2.1239e-01 1.3824e-02
3684.57 3.8712e-05 7.1744e-01 2.6269e-01 1.9827e-02
3909.64 2.7724e-05 6.5429e-01 3.1787e-01 2.7815e-02
4148.46 2.5037e-05 6.5875e-01 3.1296e-01 2.8265e-02
4401.86 2.5686e-05 6.8597e-01 2.8928e-01 2.4723e-02
4670.75 2.2189e-05 6.8738e-01 2.8772e-01 2.4873e-02
4956.05 1.0883e-05 5.9333e-01 3.6978e-01 3.6880e-02
