#NTIMES: 145 
#NSTAGES: 5 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] na0 na1 na2 na3 na4 
24052.47 1.55e-07 1.00e+00 5.73e-27 6.57e-29 4.57e-31 
24867.72 1.88e-07 1.00e+00 5.28e-27 5.25e-29 3.14e-31 
25698.86 1.94e-07 1.00e+00 5.62e-27 5.45e-29 1.97e-31 
26587.16 1.92e-07 1.00e+00 6.50e-27 5.80e-29 3.48e-31 
27637.54 1.89e-07 1.00e+00 7.70e-27 7.91e-29 3.06e-32 
28986.97 1.86e-07 1.00e+00 1.07e-26 5.99e-29 4.70e-32 
#TIME: 4.31 
#NVEL: 67 
#vel_mid[km/s] na0 na1 na2 na3 na4 
440.10 4.14e-12 3.56e-04 8.81e-01 1.19e-01 2.39e-06 
999.11 3.35e-13 3.17e-05 4.94e-01 5.06e-01 8.21e-05 
1267.34 9.56e-15 1.17e-06 9.46e-02 9.03e-01 2.08e-03 
1514.05 8.46e-16 1.09e-07 2.39e-02 9.64e-01 1.23e-02 
1808.80 9.13e-17 1.34e-08 6.85e-03 9.34e-01 5.93e-02 
1919.29 1.56e-17 2.53e-09 2.36e-03 8.37e-01 1.60e-01 
2160.92 2.47e-18 4.03e-10 6.89e-04 6.39e-01 3.60e-01 
2292.92 4.60e-19 7.90e-11 2.02e-04 3.95e-01 6.05e-01 
2432.98 2.11e-19 3.66e-11 1.18e-04 3.14e-01 6.86e-01 
2581.60 1.15e-19 1.90e-11 7.40e-05 2.50e-01 7.50e-01 
2739.29 6.40e-20 1.08e-11 4.92e-05 2.06e-01 7.94e-01 
2906.62 4.93e-20 8.41e-12 4.17e-05 1.92e-01 8.08e-01 
3084.17 4.06e-20 7.04e-12 3.71e-05 1.82e-01 8.18e-01 
3272.56 3.40e-20 6.15e-12 3.42e-05 1.77e-01 8.23e-01 
3472.46 3.55e-20 6.81e-12 3.79e-05 1.89e-01 8.11e-01 
3684.57 3.82e-20 7.85e-12 4.30e-05 2.06e-01 7.94e-01 
3909.64 4.08e-20 9.29e-12 5.00e-05 2.28e-01 7.71e-01 
