#NTIMES: 4
#NWAVE: 10000
#TIMES[d]: 5.0 10.0 15.0 20.0
#wavelength[Ang] flux_t0[erg/s/Ang] flux_t1[erg/s/Ang] ... flux_tn[erg/s/Ang]
9.988513E+03 8.290129E+37 2.349022E+38 2.787060E+38 2.243470E+38
9.969096E+03 8.341012E+37 2.363290E+38 2.809346E+38 2.260301E+38
9.949754E+03 8.391671E+37 2.377614E+38 2.830921E+38 2.273455E+38
9.930487E+03 8.442541E+37 2.391846E+38 2.851762E+38 2.293166E+38
9.911294E+03 8.493684E+37 2.406035E+38 2.870232E+38 2.308204E+38
9.892175E+03 8.544634E+37 2.420286E+38 2.889542E+38 2.325238E+38
9.873130E+03 8.595463E+37 2.434474E+38 2.909922E+38 2.333633E+38
9.854158E+03 8.646587E+37 2.448637E+38 2.927006E+38 2.346970E+38
9.835259E+03 8.697770E+37 2.463028E+38 2.941748E+38 2.364131E+38
9.816433E+03 8.748631E+37 2.477329E+38 2.958042E+38 2.383420E+38
9.797678E+03 8.798847E+37 2.491651E+38 2.975237E+38 2.399192E+38
9.778995E+03 8.848967E+37 2.505719E+38 2.991002E+38 2.408947E+38
9.760383E+03 8.897991E+37 2.519821E+38 3.005236E+38 2.421109E+38
9.741841E+03 8.946428E+37 2.533756E+38 3.020190E+38 2.430384E+38
9.723370E+03 8.995398E+37 2.547957E+38 3.033487E+38 2.442953E+38
9.704969E+03 9.045035E+37 2.562108E+38 3.046568E+38 2.464056E+38
9.686637E+03 9.094762E+37 2.576456E+38 3.059255E+38 2.477849E+38
9.668375E+03 9.145447E+37 2.590738E+38 3.073359E+38 2.489317E+38
9.650181E+03 9.196269E+37 2.605209E+38 3.086711E+38 2.507380E+38
9.632055E+03 9.247216E+37 2.619719E+38 3.101657E+38 2.523865E+38
9.613998E+03 9.298697E+37 2.634272E+38 3.115860E+38 2.539496E+38
9.596008E+03 9.351083E+37 2.648931E+38 3.129848E+38 2.550709E+38
9.578085E+03 9.403214E+37 2.663761E+38 3.144200E+38 2.559755E+38
9.560229E+03 9.455855E+37 2.678707E+38 3.161375E+38 2.554108E+38
9.542440E+03 9.509179E+37 2.693878E+38 3.184281E+38 2.544035E+38
9.524717E+03 9.562550E+37 2.709325E+38 3.212072E+38 2.536070E+38
9.507059E+03 9.616807E+37 2.724629E+38 3.242705E+38 2.531803E+38
9.489467E+03 9.671316E+37 2.740302E+38 3.277237E+38 2.537023E+38
9.471939E+03 9.726614E+37 2.755850E+38 3.314632E+38 2.578416E+38
9.454477E+03 9.781866E+37 2.771303E+38 3.356018E+38 2.644011E+38
9.437078E+03 9.837758E+37 2.786798E+38 3.395449E+38 2.726525E+38
9.419744E+03 9.893151E+37 2.802320E+38 3.432530E+38 2.765476E+38
9.402473E+03 9.948958E+37 2.817594E+38 3.467456E+38 2.789387E+38
9.385265E+03 1.000631E+38 2.833291E+38 3.502696E+38 2.810851E+38
9.368120E+03 1.006549E+38 2.849400E+38 3.535358E+38 2.839744E+38
9.351038E+03 1.012591E+38 2.865987E+38 3.565799E+38 2.863747E+38
9.334018E+03 1.019051E+38 2.882854E+38 3.595829E+38 2.883148E+38
9.317060E+03 1.024528E+38 2.898659E+38 3.614133E+38 2.904128E+38
9.300163E+03 1.029949E+38 2.914307E+38 3.626943E+38 2.921422E+38
9.283327E+03 1.035072E+38 2.929286E+38 3.632010E+38 2.940179E+38
9.266552E+03 1.040000E+38 2.944706E+38 3.633959E+38 2.958991E+38
9.249838E+03 1.045506E+38 2.960920E+38 3.632276E+38 2.972713E+38
9.233184E+03 1.051956E+38 2.977002E+38 3.608577E+38 2.984023E+38
9.216590E+03 1.058916E+38 2.993131E+38 3.576990E+38 2.978061E+38
9.200055E+03 1.066721E+38 3.010978E+38 3.549125E+38 2.974622E+38
9.183580E+03 1.075674E+38 3.029619E+38 3.520570E+38 2.967193E+38
9.167163E+03 1.084574E+38 3.048531E+38 3.499638E+38 2.957493E+38
9.150805E+03 1.094799E+38 3.069548E+38 3.485915E+38 2.935204E+38
9.134506E+03 1.105193E+38 3.093136E+38 3.477530E+38 2.912933E+38
9.118264E+03 1.116515E+38 3.117315E+38 3.487814E+38 2.863119E+38
9.102080E+03 1.127577E+38 3.143632E+38 3.495362E+38 2.795587E+38
9.085953E+03 1.139159E+38 3.173482E+38 3.533505E+38 2.692902E+38
9.069883E+03 1.151880E+38 3.205060E+38 3.623191E+38 2.552929E+38
9.053871E+03 1.164704E+38 3.237751E+38 3.742085E+38 2.426464E+38
9.037914E+03 1.178407E+38 3.273228E+38 3.887155E+38 2.348585E+38
9.022014E+03 1.192162E+38 3.310813E+38 4.056806E+38 2.373585E+38
9.006169E+03 1.206758E+38 3.351799E+38 4.234935E+38 2.573933E+38
8.990380E+03 1.221652E+38 3.396123E+38 4.495100E+38 2.992073E+38
8.974647E+03 1.236625E+38 3.439869E+38 4.718318E+38 3.496590E+38
8.958968E+03 1.252237E+38 3.485083E+38 4.898876E+38 3.792900E+38
8.943344E+03 1.267282E+38 3.533460E+38 5.069291E+38 3.923412E+38
8.927774E+03 1.283339E+38 3.584086E+38 5.228900E+38 4.033533E+38
8.912259E+03 1.298614E+38 3.633672E+38 5.384451E+38 4.136543E+38
8.896797E+03 1.314198E+38 3.685589E+38 5.539724E+38 4.230771E+38
8.881389E+03 1.330096E+38 3.737704E+38 5.690387E+38 4.326578E+38
8.866034E+03 1.346044E+38 3.801205E+38 5.834870E+38 4.414327E+38
8.850732E+03 1.360983E+38 3.870621E+38 5.976970E+38 4.489949E+38
8.835483E+03 1.375827E+38 3.940148E+38 6.115286E+38 4.554211E+38
8.820287E+03 1.390725E+38 4.004163E+38 6.248235E+38 4.616562E+38
