#NTIMES: 110 
#TIMES[d]: 2.04 2.11 2.19 2.28 2.36 2.45 2.54 2.64 2.74 2.84 2.95 3.06 3.17 3.29 3.41 3.54 3.68 3.81 3.96 4.11 4.26 4.42 4.59 4.76 4.94 5.12 5.32 5.52 5.72 5.94 6.16 6.39 6.63 6.88 7.14 7.41 7.69 7.98 8.28 8.59 8.91 9.25 9.59 9.95 10.33 10.71 11.12 11.54 11.97 12.42 12.88 13.37 13.87 14.39 14.93 15.49 16.08 16.68 17.31 17.96 18.63 19.33 20.06 20.81 21.59 22.41 23.25 24.12 25.03 25.97 26.94 27.96 29.01 30.10 31.23 32.40 33.62 34.88 36.19 37.55 38.96 40.43 41.95 43.52 45.16 46.86 48.62 50.44 52.34 54.30 56.35 58.46 60.66 62.94 65.30 67.76 70.30 72.94 75.69 78.53 81.48 84.54 87.72 91.01 94.43 97.98 101.66 105.48 109.45 113.56 117.83 
#NSTAGES: 5 
#
#TIME: 2.04 
#NVEL: 80 
#vel_mid[km/s] temp[K] ne[/cm^3] k0 k1 k2 k3 k4 
14750.00 4201.30 3.22e+10 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
15250.00 4012.48 2.28e+10 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
15750.00 3605.19 8.73e+09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16250.00 3528.20 6.38e+09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16750.00 3500.00 5.27e+09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
17250.00 3500.00 4.69e+09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
17750.00 3500.00 4.18e+09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
18250.00 3500.00 3.72e+09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
18750.00 3500.00 3.32e+09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
19250.00 3500.00 2.96e+09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
19750.00 3500.00 2.63e+09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
20250.00 3500.00 2.34e+09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
20750.00 3500.00 2.09e+09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
21250.00 3500.00 1.86e+09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
21750.00 3500.00 1.65e+09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
22250.00 3500.00 1.46e+09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
22750.00 3500.00 1.30e+09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
23250.00 3500.00 1.15e+09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
23750.00 3500.00 1.01e+09 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
24250.00 3500.00 8.92e+08 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
24750.00 3500.00 7.84e+08 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
25250.00 3500.00 6.88e+08 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
25750.00 3500.00 6.03e+08 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
26250.00 3500.00 5.26e+08 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
26750.00 3500.00 4.59e+08 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
27250.00 3500.00 3.99e+08 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
27750.00 3500.00 3.46e+08 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
28250.00 3500.00 2.99e+08 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
28750.00 3500.00 2.58e+08 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
29250.00 3500.00 2.22e+08 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
29750.00 3500.00 1.91e+08 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
30250.00 3500.00 1.63e+08 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
30750.00 3500.00 1.40e+08 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
31250.00 3500.00 1.19e+08 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
31750.00 3500.00 1.02e+08 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
32250.00 3500.00 8.64e+07 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
32750.00 3500.00 7.34e+07 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
33250.00 3500.00 6.23e+07 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
33750.00 3500.00 5.29e+07 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
34250.00 3500.00 4.48e+07 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
34750.00 3500.00 3.79e+07 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
35250.00 3500.00 3.21e+07 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
35750.00 3500.00 2.71e+07 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
36250.00 3500.00 2.29e+07 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
36750.00 3500.00 1.94e+07 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
37250.00 3500.00 1.64e+07 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
37750.00 3500.00 1.39e+07 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
38250.00 3500.00 1.17e+07 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
38750.00 3500.00 9.91e+06 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
39250.00 3500.00 8.39e+06 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
39750.00 3500.00 7.10e+06 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
#
#TIME: 2.19 
#NVEL: 80 
#vel_mid[km/s] temp[K] ne[/cm^3] k0 k1 k2 k3 k4 
750.00 106495.00 1.99e+13 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
1250.00 101643.00 1.68e+13 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
1750.00 97784.40 1.42e+13 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
2250.00 93835.90 1.20e+13 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
2750.00 89803.10 1.01e+13 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
3250.00 86230.90 8.50e+12 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
3750.00 82703.60 7.15e+12 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
