#NTIMES: 257
#NSTAGES: 6
#TIMES[d]: 2.200 2.420 2.662 2.928 3.221 3.543 3.897 4.287 4.716 5.187 5.706 6.277 6.905 7.595 8.354 9.190 10.109 11.109 12.109 13.109 14.109 15.109 16.109 17.109 18.109 19.109 20.109 21.109 22.109 23.109 24.109 25.109 26.109 27.109 28.109 29.109 30.109 31.109 32.109 33.109 34.109 35.109 36.109 37.109 38.109 39.109 40.109 41.109 42.109 43.109 44.109 45.109 46.109 47.109 48.109 49.109 50.109 51.109 52.109 53.109 54.109 55.109 56.109 57.109 58.109 59.109 60.109 61.109 62.109 63.109 64.109 65.109 66.109 67.109 68.109 69.109 70.109 71.109 72.109 73.109 74.109 75.109 76.109 77.109 78.109 79.109 80.109 81.109 82.109 83.109 84.109 85.109 86.109 87.109 88.109 89.109 90.109 91.109 92.109 93.109 94.109 95.109 96.109 97.109 98.109 99.109 100.109 101.109 102.109 103.109 104.109 105.109 106.109 107.109 108.109 109.109 110.109 111.109 112.109 113.109 114.109 115.109 116.109 117.109 118.109 119.109 120.109 121.109 122.109 123.109 124.109 125.109 126.109 127.109 128.109 129.109 130.109 131.109 132.109 133.109 134.109 135.109 136.109 137.109 138.109 139.109 140.109 141.109 142.109 143.109 144.109 145.109 146.109 147.109 148.109 149.109 150.109 151.109 152.109 153.109 154.109 155.109 156.109 157.109 158.109 159.109 160.109 161.109 162.109 163.109 164.109 165.109 166.109 167.109 168.109 169.109 170.109 171.109 172.109 173.109 174.109 175.109 176.109 177.109 178.109 179.109 180.109 181.109 182.109 183.109 184.109 185.109 186.109 187.109 188.109 189.109 190.109 191.109 192.109 193.109 194.109 195.109 196.109 197.109 198.109 199.109 200.109 201.109 202.109 203.109 204.109 205.109 206.109 207.109 208.109 209.109 210.109 211.109 212.109 213.109 214.109 215.109 216.109 217.109 218.109 219.109 220.109 221.109 222.109 223.109 224.109 225.109 226.109 227.109 228.109 229.109 230.109 231.109 232.109 233.109 234.109 235.109 236.109 237.109 238.109 239.109 240.109 241.109 242.109 243.109 244.109 245.109 246.109 247.109 248.109 249.109 250.109 
#
#TIME: 2.200000
#NVEL: 81
#vel_mid[km/s] Co0 Co1 Co2 Co3 Co4 Co5
2.675e+09 1.907559e-05 9.999404e-01 4.056442e-05 1.954323e-25 1.334733e-63 1.653287e-129
2.725e+09 2.165042e-05 9.999523e-01 2.602547e-05 4.475201e-26 5.824676e-65 5.053734e-132
2.775e+09 2.539833e-05 9.999590e-01 1.557871e-05 8.340057e-27 1.679056e-66 7.383704e-135
2.825e+09 1.052608e-05 9.999091e-01 8.034070e-05 9.035372e-25 1.717307e-62 7.835838e-128
2.875e+09 4.286192e-05 9.999535e-01 3.637327e-06 8.118355e-29 1.078226e-70 1.652335e-142
2.925e+09 1.006786e-05 9.999286e-01 6.129910e-05 2.937981e-25 1.276207e-63 4.925645e-130
2.975e+09 1.041449e-05 9.999419e-01 4.769142e-05 1.190193e-25 1.751729e-64 1.154335e-131
3.025e+09 9.909259e-06 9.999460e-01 4.408381e-05 8.020129e-26 6.674567e-65 1.658400e-132
3.075e+09 3.762176e-05 9.999601e-01 2.300413e-06 1.092848e-29 9.630605e-73 1.525669e-146
3.125e+09 9.516296e-06 9.999571e-01 3.334445e-05 2.540347e-26 4.702579e-66 9.473937e-135
3.175e+09 3.867784e-05 9.999598e-01 1.506413e-06 2.253596e-30 2.856192e-74 1.864343e-149
3.225e+09 1.508809e-05 9.999760e-01 8.927278e-06 3.730854e-28 6.944970e-70 9.398311e-142
3.275e+09 1.571812e-06 9.992180e-01 7.804643e-04 1.701033e-22 1.310777e-58 7.871149e-122
3.325e+09 4.034049e-06 9.999014e-01 9.456727e-05 2.873322e-25 3.054990e-64 6.324984e-132
3.375e+09 1.682101e-06 9.995244e-01 4.739042e-04 2.823676e-23 2.533669e-60 4.540826e-125
3.425e+09 2.199758e-06 9.997693e-01 2.285107e-04 2.795909e-24 2.067297e-62 7.115283e-129
3.475e+09 5.337376e-06 9.999638e-01 3.088332e-05 6.487825e-27 9.055804e-68 1.738997e-138
3.525e+09 2.662739e-05 9.999725e-01 9.136227e-07 1.646905e-31 4.458120e-77 3.935075e-155
3.575e+09 1.205937e-05 9.999840e-01 3.969528e-06 1.087683e-29 1.710623e-73 7.446075e-149
3.625e+09 1.932828e-06 9.998534e-01 1.446553e-04 3.784960e-25 1.873896e-64 6.775348e-133
3.675e+09 6.878771e-06 9.999843e-01 8.840951e-06 8.401536e-29 7.362159e-72 3.803538e-146
3.725e+09 3.292803e-06 9.999630e-01 3.373642e-05 3.730359e-27 1.254482e-68 1.668710e-140
3.775e+09 1.377840e-06 9.998303e-01 1.683453e-04 3.628862e-25 1.022674e-64 1.167087e-133
3.825e+09 2.764725e-06 9.999636e-01 3.364209e-05 2.670568e-27 4.535550e-69 1.738631e-141
3.875e+09 2.447153e-05 9.999752e-01 3.024025e-07 1.996375e-33 1.873571e-81 1.334681e-163
3.925e+09 5.502841e-06 9.999889e-01 5.647059e-06 9.895679e-30 4.228867e-74 1.277011e-150
3.975e+09 9.471580e-05 9.999053e-01 1.198891e-08 9.819198e-38 2.794583e-90 1.621116e-179
4.025e+09 3.536754e-04 9.996463e-01 5.594783e-10 8.505236e-42 1.417357e-98 1.941493e-194
#TIME: 2.662000
#NVEL: 81
#vel_mid[km/s] Co0 Co1 Co2 Co3 Co4 Co5
2.500e+07 3.026680e-40 1.302270e-30 1.743570e-21 5.155128e-13 2.591767e-05 9.999741e-01
7.500e+07 2.045917e-39 7.646787e-30 7.989480e-21 1.627725e-12 4.901260e-05 9.999510e-01
1.250e+08 3.378152e-39 1.293282e-29 1.312165e-20 2.442676e-12 6.247338e-05 9.999375e-01
1.750e+08 5.519877e-39 2.175425e-29 2.154275e-20 3.685195e-12 8.025355e-05 9.999197e-01
2.250e+08 9.605731e-39 3.882368e-29 3.730022e-20 5.816062e-12 1.061689e-04 9.998938e-01
2.750e+08 1.534533e-38 6.431610e-29 6.085621e-20 8.819501e-12 1.377475e-04 9.998623e-01
3.250e+08 2.722518e-38 1.173313e-28 1.080528e-19 1.432711e-11 1.863449e-04 9.998137e-01
3.750e+08 5.012162e-38 2.217902e-28 1.984045e-19 2.399507e-11 2.570680e-04 9.997429e-01
4.250e+08 9.899782e-38 4.477499e-28 3.866887e-19 4.227475e-11 3.656900e-04 9.996343e-01
