#NTIMES:     39
#NSTAGES:     5
#TIMES[d]:     2.000    2.020    2.050    2.100    2.200    2.400    2.640    2.900    3.190    3.510    3.860    4.250    4.670    5.140    5.650    6.210    6.830    7.510    8.260    9.090   10.000   11.000   12.100   13.310   14.640   16.100   17.710   19.480   21.430   23.570   25.930   28.520   31.370   34.510   38.000   41.000   45.100   49.610   54.570
#
#TIME:     2.000
#NVEL: 100
#vel_mid[km/s]           s 1           s 2           s 3           s 4           s 5
    1.157588E+04    1.0000E-99    2.5681E-05    2.6012E-01    7.3959E-01    2.6468E-04
    1.165789E+04    1.0000E-99    1.3923E-04    5.7773E-01    4.2211E-01    2.3713E-05
    1.172968E+04    1.0000E-99    4.9321E-04    8.4239E-01    1.5711E-01    1.3577E-06
    1.179602E+04    1.0000E-99    1.3552E-03    9.5334E-01    4.5305E-02    5.9932E-08
    1.185624E+04    1.0000E-99    3.2881E-03    9.8398E-01    1.2734E-02    2.8560E-09
    1.191139E+04    1.0000E-99    7.6142E-03    9.8873E-01    3.6514E-03    1.4950E-10
    1.196310E+04    1.0000E-99    1.7430E-02    9.8153E-01    1.0416E-03    7.8883E-12
    1.200903E+04    1.0000E-99    3.7777E-02    9.6191E-01    3.1284E-04    4.7854E-13
    1.204957E+04    1.0000E-99    7.6407E-02    9.2349E-01    9.8900E-05    3.3653E-14
    1.208724E+04    1.0000E-99    1.4594E-01    8.5403E-01    3.0944E-05    2.4261E-15
    1.211780E+04    1.0000E-99    2.3860E-01    7.6139E-01    1.1112E-05    2.5381E-16
    1.214029E+04    1.0000E-99    3.3028E-01    6.6972E-01    4.9408E-06    4.4685E-17
    1.215784E+04    1.0000E-99    4.1320E-01    5.8680E-01    2.5306E-06    1.1031E-17
    1.217298E+04    1.0000E-99    4.8895E-01    5.1104E-01    1.3878E-06    3.2241E-18
    1.218654E+04    1.0000E-99    5.5710E-01    4.4290E-01    7.9604E-07    1.0544E-18
    1.220016E+04    1.0000E-99    6.2323E-01    3.7677E-01    4.4814E-07    3.3829E-19
    1.221368E+04    1.0000E-99    6.8415E-01    3.1584E-01    2.5037E-07    1.0872E-19
    1.222859E+04    1.0000E-99    7.4376E-01    2.5624E-01    1.3087E-07    3.1210E-20
    1.224457E+04    1.0000E-99    7.9800E-01    2.0200E-01    6.4996E-08    8.2574E-21
    1.225965E+04    1.0000E-99    8.4019E-01    1.5981E-01    3.3539E-08    2.3802E-21
    1.227256E+04    1.0000E-99    8.6956E-01    1.3044E-01    1.9205E-08    8.4148E-22
    1.228514E+04    1.0000E-99    8.9298E-01    1.0702E-01    1.1276E-08    3.1390E-22
    1.229683E+04    1.0000E-99    9.1103E-01    8.8967E-02    6.9116E-09    1.2765E-22
    1.232733E+04    1.0000E-99    9.4294E-01    5.7057E-02    2.1735E-09    1.5961E-23
    1.289197E+04    1.0000E-99    9.9981E-01    1.9084E-04    1.1734E-15    4.2024E-27
    1.402569E+04    1.0000E-99    1.0000E+00    3.7129E-07    2.5148E-22    9.2053E-30
    1.518573E+04    1.0000E-99    1.0000E+00    2.5177E-09    7.7742E-23    6.3929E-32
    1.632859E+04    1.0000E-99    1.0000E+00    4.0154E-11    8.2408E-23    1.0594E-33
    1.745157E+04    1.0000E-99    1.0000E+00    2.1420E-12    8.6031E-23    5.8305E-35
    1.855827E+04    1.0000E-99    1.0000E+00    2.9739E-13    8.9398E-23    8.3598E-36
    1.963325E+04    1.0000E-99    1.0000E+00    7.3997E-14    9.2522E-23    2.1456E-36
    2.068109E+04    1.0000E-99    1.0000E+00    2.6045E-14    9.5336E-23    7.7709E-37
    2.170537E+04    1.0000E-99    1.0000E+00    1.1652E-14    9.7893E-23    3.5734E-37
    2.269952E+04    1.0000E-99    1.0000E+00    6.5703E-15    1.0027E-22    2.0717E-37
    2.366536E+04    1.0000E-99    1.0000E+00    4.5027E-15    1.0252E-22    1.4596E-37
    2.460914E+04    1.0000E-99    1.0000E+00    3.6265E-15    1.0465E-22    1.2071E-37
    2.553354E+04    1.0000E-99    1.0000E+00    3.2458E-15    1.0667E-22    1.1066E-37
