#NTIMES: 128
#NSTAGES: 9
#TIMES[d]: 2.037028e+00 2.112455e+00 2.190675e+00 2.271792e+00 2.355913e+00 2.443148e+00 2.533613e+00 2.627428e+00 2.724717e+00 2.825608e+00 2.930235e+00 3.038736e+00 3.151255e+00 3.267940e+00 3.388946e+00 3.514432e+00 3.644565e+00 3.779516e+00 3.919465e+00 4.064595e+00 4.215100e+00 4.371177e+00 4.533034e+00 4.700883e+00 4.874948e+00 5.055458e+00 5.242653e+00 5.436778e+00 5.638092e+00 5.846861e+00 6.063359e+00 6.287873e+00 6.520702e+00 6.762152e+00 7.012541e+00 7.272203e+00 7.541479e+00 7.820726e+00 8.110313e+00 8.410623e+00 8.722052e+00 9.045013e+00 9.379933e+00 9.727255e+00 1.008744e+01 1.046096e+01 1.084831e+01 1.125000e+01 1.166656e+01 1.209856e+01 1.254655e+01 1.301112e+01 1.349289e+01 1.399251e+01 1.451063e+01 1.504793e+01 1.560513e+01 1.618296e+01 1.678218e+01 1.740360e+01 1.804802e+01 1.871630e+01 1.940933e+01 2.012802e+01 2.087333e+01 2.164623e+01 2.244774e+01 2.327894e+01 2.414092e+01 2.503481e+01 2.596181e+01 2.692312e+01 2.792004e+01 2.895387e+01 3.002597e+01 3.113778e+01 3.229075e+01 3.348642e+01 3.472636e+01 3.601222e+01 3.734568e+01 3.872852e+01 4.016256e+01 4.164970e+01 4.319192e+01 4.479123e+01 4.644977e+01 4.816972e+01 4.995336e+01 5.180304e+01 5.372120e+01 5.571040e+01 5.777325e+01 5.991249e+01 6.213094e+01 6.443153e+01 6.681731e+01 6.929144e+01 7.185717e+01 7.451791e+01 7.727716e+01 8.013859e+01 8.310597e+01 8.618323e+01 8.937444e+01 9.268381e+01 9.611572e+01 9.967470e+01 1.033655e+02 1.071929e+02 1.111621e+02 1.152782e+02 1.195467e+02 1.239733e+02 1.285638e+02 1.333243e+02 1.382611e+02 1.433806e+02 1.486897e+02 1.541954e+02 1.599050e+02 1.658260e+02 1.719662e+02 1.783338e+02 1.849372e+02 1.917850e+02 1.988865e+02 2.062509e+02 
#
#TIME: 2.037028e+00 
#NVEL: 162
#vel_mid[km/s] temp[K] ne[/cm^3] fe0 fe1 fe2 fe3 fe4 fe5 fe6 fe7 fe8
1.062501e+04 2.693390e+04 1.142515e+12 1.184998e-23 6.349124e-15 1.174716e-07 1.295530e-02 9.665063e-01 2.053826e-02 4.241317e-08 3.855743e-18 7.480142e-33 
1.087502e+04 2.464226e+04 1.047297e+12 4.545178e-22 1.837663e-13 1.970883e-06 7.366324e-02 9.247087e-01 1.626077e-03 1.257761e-10 1.821990e-22 2.319608e-39 
1.112502e+04 2.235828e+04 9.552352e+11 1.364049e-20 4.219036e-12 2.626588e-05 3.273718e-01 6.725080e-01 9.389735e-05 2.575833e-13 5.519641e-27 4.231725e-46 
1.137501e+04 2.007654e+04 8.305571e+11 3.246956e-19 7.587389e-11 2.488217e-04 8.178759e-01 1.818742e-01 1.126950e-06 5.021066e-17 5.880226e-33 8.067180e-55 
1.162501e+04 1.789442e+04 6.729461e+11 5.239612e-18 9.280330e-10 1.454214e-03 9.835374e-01 1.500838e-02 2.149129e-09 6.371901e-22 1.312123e-40 8.103638e-66 
1.187501e+04 1.563239e+04 5.706198e+11 2.304760e-16 2.587315e-08 1.346290e-02 9.861714e-01 3.656591e-04 2.941893e-13 9.252282e-29 3.379576e-51 5.872706e-81 
1.212501e+04 1.320308e+04 4.436347e+11 6.833683e-14 3.758526e-06 3.280168e-01 6.719789e-01 5.671957e-07 9.840504e-20 4.419115e-40 1.234619e-68 8.291536e-106 
1.237501e+04 1.087264e+04 3.280821e+11 3.244357e-11 3.961590e-04 9.974017e-01 2.202129e-03 1.299984e-14 1.843512e-34 3.782282e-64 1.737048e-104 6.443887e-156 
1.262501e+04 9.117544e+03 2.397422e+11 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.287501e+04 7.726253e+03 1.527937e+11 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
1.312501e+04 6.386701e+03 1.321858e+11 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 
