#NTIMES 50
#NSTAGES 4
#TIMES[d] 199.16 202.02 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.49 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.54 328.20 332.91 337.70 342.55 347.48 352.47 357.54 362.67 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 81
#vel_mid[km/s] si0 si1 si2 si3
40250.00 5.2816e-12 2.7980e-05 1.2410e-02 9.8756e-01
#TIME: 207.87
#NVEL 81
#vel_mid[km/s] si0 si1 si2 si3
1250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6750.00 6.6433e-08 2.4904e-02 7.6297e-01 2.1213e-01
7250.00 9.1353e-08 3.4110e-02 7.6098e-01 2.0491e-01
7750.00 2.3062e-07 7.3831e-02 7.4907e-01 1.7709e-01
8250.00 7.1306e-07 1.7088e-01 6.9153e-01 1.3760e-01
8750.00 2.0435e-06 3.3510e-01 5.6567e-01 9.9228e-02
9250.00 3.6549e-06 4.5742e-01 4.6517e-01 7.7400e-02
9750.00 5.1022e-06 5.1097e-01 4.2468e-01 6.4340e-02
10250.00 7.6760e-06 5.6089e-01 3.8605e-01 5.3056e-02
10750.00 1.0747e-05 6.0830e-01 3.4875e-01 4.2934e-02
11250.00 1.3906e-05 6.4593e-01 3.1796e-01 3.6097e-02
11750.00 1.4838e-05 6.8190e-01 2.8731e-01 3.0773e-02
12250.00 1.5197e-05 6.7491e-01 2.9316e-01 3.1920e-02
12750.00 1.2949e-05 6.3194e-01 3.3199e-01 3.6054e-02
13250.00 1.1326e-05 6.5371e-01 3.0856e-01 3.7718e-02
13750.00 9.8014e-06 6.2572e-01 3.3180e-01 4.2474e-02
14250.00 1.0739e-05 5.7820e-01 3.7101e-01 5.0775e-02
14750.00 8.4908e-06 5.7340e-01 3.7153e-01 5.5061e-02
15250.00 8.2295e-06 5.4353e-01 3.9572e-01 6.0742e-02
15750.00 7.6446e-06 4.9401e-01 4.3594e-01 7.0044e-02
16250.00 5.4733e-06 4.4377e-01 4.7246e-01 8.3763e-02
16750.00 5.3084e-06 4.6342e-01 4.5027e-01 8.6298e-02
17250.00 4.4146e-06 4.0474e-01 4.9732e-01 9.7926e-02
17750.00 4.9954e-06 4.9179e-01 4.1499e-01 9.3206e-02
18250.00 4.7079e-06 4.1354e-01 4.8050e-01 1.0596e-01
18750.00 3.3087e-06 3.3994e-01 5.2653e-01 1.3353e-01
19250.00 4.8253e-06 3.6568e-01 4.9707e-01 1.3725e-01
19750.00 4.4817e-06 4.0972e-01 4.4608e-01 1.4419e-01
20250.00 2.2500e-06 2.0017e-01 6.0861e-01 1.9122e-01
20750.00 3.7530e-06 3.3437e-01 4.7981e-01 1.8582e-01
21250.00 1.7217e-06 1.5179e-01 6.1124e-01 2.3696e-01
21750.00 2.5479e-06 2.0803e-01 5.5427e-01 2.3769e-01
22250.00 3.2635e-06 3.2853e-01 4.3804e-01 2.3342e-01
22750.00 2.7205e-06 2.7169e-01 4.6179e-01 2.6651e-01
23250.00 2.5758e-06 2.1884e-01 4.8455e-01 2.9661e-01
23750.00 2.2787e-06 2.3769e-01 4.4226e-01 3.2006e-01
24250.00 1.7265e-06 2.0759e-01 4.3767e-01 3.5474e-01
24750.00 1.1690e-06 1.7371e-01 4.2811e-01 3.9818e-01
25250.00 8.2062e-07 1.4352e-01 4.2107e-01 4.3541e-01
25750.00 6.1162e-07 1.1865e-01 3.9967e-01 4.8168e-01
26250.00 4.0239e-07 8.6963e-02 3.8871e-01 5.2433e-01
26750.00 2.9004e-07 7.6880e-02 3.5837e-01 5.6475e-01
27250.00 1.5501e-07 4.9168e-02 3.4005e-01 6.1078e-01
27750.00 8.8977e-08 2.9379e-02 3.1389e-01 6.5673e-01
28250.00 6.9765e-09 2.6066e-03 3.0394e-01 6.9345e-01
28750.00 2.8654e-08 1.0106e-02 2.6199e-01 7.2790e-01
29250.00 6.0339e-09 2.1276e-03 2.4429e-01 7.5359e-01
29750.00 8.7487e-09 3.4893e-03 2.1067e-01 7.8584e-01
30250.00 5.6115e-09 2.8225e-03 1.9292e-01 8.0426e-01
30750.00 1.5195e-08 1.1828e-02 1.6210e-01 8.2607e-01
31250.00 6.7701e-09 3.8666e-03 1.5061e-01 8.4552e-01
31750.00 1.9569e-09 2.4547e-03 1.3281e-01 8.6474e-01
32250.00 1.8669e-09 2.4554e-03 1.1603e-01 8.8151e-01
32750.00 1.5951e-09 2.6660e-03 1.0125e-01 8.9608e-01
33250.00 3.0152e-10 4.8123e-04 8.8597e-02 9.1092e-01
33750.00 5.4142e-11 1.1824e-04 7.6922e-02 9.2296e-01
34250.00 3.9528e-10 7.4425e-04 6.7062e-02 9.3219e-01
34750.00 2.9525e-10 7.9501e-04 5.7934e-02 9.4127e-01
35250.00 1.5587e-10 3.7184e-04 4.9411e-02 9.5022e-01
35750.00 1.2942e-10 3.2892e-04 4.2651e-02 9.5702e-01
36250.00 2.4092e-11 1.0113e-04 3.6901e-02 9.6300e-01
36750.00 1.0038e-11 3.6779e-05 3.1757e-02 9.6821e-01
37250.00 2.0391e-11 6.7106e-05 2.8331e-02 9.7160e-01
37750.00 4.3111e-12 2.4756e-05 2.4253e-02 9.7572e-01
38250.00 3.1336e-12 2.0226e-05 2.1040e-02 9.7894e-01
38750.00 3.7040e-12 1.9142e-05 1.8609e-02 9.8137e-01
39250.00 1.2484e-12 6.6655e-06 1.6297e-02 9.8370e-01
39750.00 8.4593e-13 7.1164e-06 1.3911e-02 9.8608e-01
40250.00 1.6377e-12 7.6953e-06 1.2348e-02 9.8764e-01
#TIME: 210.86
#NVEL 81
#vel_mid[km/s] si0 si1 si2 si3
1250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6750.00 6.7403e-08 2.6114e-02 7.5375e-01 2.2014e-01
7250.00 9.8473e-08 3.5450e-02 7.6275e-01 2.0180e-01
7750.00 2.2561e-07 7.0161e-02 7.4824e-01 1.8160e-01
8250.00 7.1308e-07 1.7114e-01 6.8895e-01 1.3991e-01
8750.00 2.0821e-06 3.3032e-01 5.6900e-01 1.0068e-01
9250.00 4.0127e-06 4.5643e-01 4.6574e-01 7.7825e-02
9750.00 5.2956e-06 5.0169e-01 4.3349e-01 6.4808e-02
