#NTIMES: 145 
#NSTAGES: 5 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 81 
#vel_mid[km/s] si0 si1 si2 si3 si4 
28750.00 5.74e-07 9.99e-01 1.17e-03 9.72e-22 1.38e-29 
29250.00 6.67e-07 9.99e-01 8.81e-04 3.65e-22 2.29e-29 
29750.00 6.04e-07 9.99e-01 7.36e-04 1.56e-22 5.32e-29 
30250.00 9.33e-07 1.00e+00 4.75e-04 3.29e-23 8.99e-30 
30750.00 8.12e-07 1.00e+00 3.78e-04 1.34e-23 2.67e-29 
31250.00 4.91e-07 1.00e+00 3.76e-04 1.16e-23 2.01e-30 
31750.00 5.50e-07 1.00e+00 2.64e-04 3.27e-24 9.99e-29 
32250.00 1.43e-06 1.00e+00 1.37e-04 3.10e-25 2.49e-29 
32750.00 4.04e-06 1.00e+00 9.14e-05 4.09e-26 6.22e-31 
33250.00 3.41e-06 1.00e+00 7.30e-05 2.71e-25 1.01e-27 
33750.00 4.45e-06 1.00e+00 4.76e-05 9.59e-27 1.09e-28 
34250.00 8.46e-07 1.00e+00 4.94e-05 1.94e-26 6.11e-28 
34750.00 1.90e-06 1.00e+00 3.14e-05 1.95e-26 7.43e-28 
35250.00 3.05e-06 1.00e+00 2.24e-05 2.47e-26 8.55e-28 
35750.00 2.04e-06 1.00e+00 1.71e-05 1.71e-26 2.91e-28 
36250.00 2.37e-07 1.00e+00 4.18e-05 3.72e-26 2.81e-28 
36750.00 3.52e-07 1.00e+00 2.23e-05 5.01e-26 3.63e-28 
37250.00 7.25e-07 1.00e+00 1.15e-05 3.06e-26 2.65e-28 
37750.00 3.64e-07 1.00e+00 1.34e-05 1.65e-25 4.03e-27 
38250.00 3.66e-07 1.00e+00 1.08e-05 1.05e-25 1.78e-27 
38750.00 2.32e-07 1.00e+00 1.19e-05 4.41e-25 6.76e-27 
39250.00 4.47e-07 1.00e+00 5.88e-06 1.86e-25 4.29e-28 
39750.00 2.44e-07 1.00e+00 6.88e-06 5.18e-25 1.43e-27 
40250.00 5.93e-07 1.00e+00 2.81e-06 4.64e-25 1.51e-27 
#TIME: 4.31 
#NVEL: 81 
#vel_mid[km/s] si0 si1 si2 si3 si4 
250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
1250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
1750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
2250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
2750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
3250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
3750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
4250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
4750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
5250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
5750.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
6250.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
6750.00 3.67e-29 4.50e-21 4.14e-13 4.75e-06 1.00e+00 
7250.00 1.29e-28 1.48e-20 1.18e-12 9.04e-06 1.00e+00 
7750.00 7.00e-28 7.33e-20 4.80e-12 2.12e-05 1.00e+00 
8250.00 5.32e-27 5.15e-19 2.63e-11 5.95e-05 1.00e+00 
8750.00 5.64e-26 5.20e-18 1.99e-10 2.03e-04 1.00e+00 
9250.00 1.12e-24 9.63e-17 2.48e-09 9.17e-04 9.99e-01 
9750.00 6.22e-23 4.75e-15 6.74e-08 6.43e-03 9.94e-01 
10250.00 9.45e-21 6.21e-13 3.95e-06 6.80e-02 9.32e-01 
10750.00 1.26e-18 7.66e-11 2.04e-04 5.21e-01 4.78e-01 
11250.00 6.21e-17 3.49e-09 3.42e-03 9.58e-01 3.85e-02 
11750.00 5.47e-15 2.45e-07 6.41e-02 9.35e-01 5.51e-04 
12250.00 2.66e-13 8.53e-06 5.86e-01 4.14e-01 3.00e-06 
12750.00 1.67e-12 3.94e-05 9.38e-01 6.23e-02 1.48e-08 
13250.00 5.88e-12 1.02e-04 9.91e-01 9.13e-03 1.51e-10 
13750.00 2.04e-11 2.58e-04 9.98e-01 1.31e-03 1.59e-12 
14250.00 6.99e-11 6.38e-04 9.99e-01 1.90e-04 1.80e-14 
14750.00 2.17e-10 1.52e-03 9.98e-01 3.19e-05 3.00e-16 
15250.00 6.34e-10 3.41e-03 9.97e-01 5.41e-06 4.98e-18 
15750.00 2.03e-09 8.19e-03 9.92e-01 9.55e-07 8.81e-20 
16250.00 4.94e-09 1.58e-02 9.84e-01 1.74e-07 1.69e-21 
