#NTIMES: 4
#NSTAGES: 8
#TIMES[d]: 5.0 10.0 15.0 20.0
#
#TIME: 5.0
#NVEL: 290
#vel_mid[km/s] s0 s1 s2 s3 s4 s5 s6 s7
2.477500E+04 9.655802E-07 9.826583E-01 1.734074E-02 2.835475E-11 8.211682E-28 0.000000E+00 0.000000E+00 0.000000E+00
2.482500E+04 9.588449E-07 9.826866E-01 1.731245E-02 2.815679E-11 8.084304E-28 0.000000E+00 0.000000E+00 0.000000E+00
2.487500E+04 9.557268E-07 9.828546E-01 1.714444E-02 2.736447E-11 7.641141E-28 0.000000E+00 0.000000E+00 0.000000E+00
2.492500E+04 9.529656E-07 9.830255E-01 1.697359E-02 2.660521E-11 7.238565E-28 0.000000E+00 0.000000E+00 0.000000E+00
2.497500E+04 9.469816E-07 9.830861E-01 1.691294E-02 2.626086E-11 7.037463E-28 0.000000E+00 0.000000E+00 0.000000E+00
2.502500E+04 9.446099E-07 9.832760E-01 1.672305E-02 2.542503E-11 6.606496E-28 0.000000E+00 0.000000E+00 0.000000E+00
2.507500E+04 9.353747E-07 9.832054E-01 1.679363E-02 2.562777E-11 6.685735E-28 0.000000E+00 0.000000E+00 0.000000E+00
2.512500E+04 9.322003E-07 9.833689E-01 1.663020E-02 2.489005E-11 6.306242E-28 0.000000E+00 0.000000E+00 0.000000E+00
2.517500E+04 9.256244E-07 9.833950E-01 1.660408E-02 2.471461E-11 6.205819E-28 0.000000E+00 0.000000E+00 0.000000E+00
2.522500E+04 9.174625E-07 9.833579E-01 1.664117E-02 2.478594E-11 6.222095E-28 0.000000E+00 0.000000E+00 0.000000E+00
2.527500E+04 9.194804E-07 9.837132E-01 1.628592E-02 2.335284E-11 5.548382E-28 0.000000E+00 0.000000E+00 0.000000E+00
2.532500E+04 9.185936E-07 9.839504E-01 1.604867E-02 2.240990E-11 5.122587E-28 0.000000E+00 0.000000E+00 0.000000E+00
2.537500E+04 9.099085E-07 9.838860E-01 1.611312E-02 2.259516E-11 5.192822E-28 0.000000E+00 0.000000E+00 0.000000E+00
2.542500E+04 9.070737E-07 9.840519E-01 1.594719E-02 2.191629E-11 4.887498E-28 0.000000E+00 0.000000E+00 0.000000E+00
2.547500E+04 9.006906E-07 9.840842E-01 1.591492E-02 2.171961E-11 4.787318E-28 0.000000E+00 0.000000E+00 0.000000E+00
2.552500E+04 8.853412E-07 9.837729E-01 1.622622E-02 2.274662E-11 5.195158E-28 0.000000E+00 0.000000E+00 0.000000E+00
2.557500E+04 8.872319E-07 9.841178E-01 1.588132E-02 2.143724E-11 4.635072E-28 0.000000E+00 0.000000E+00 0.000000E+00
2.562500E+04 8.837646E-07 9.842505E-01 1.574859E-02 2.091052E-11 4.411884E-28 0.000000E+00 0.000000E+00 0.000000E+00
2.567500E+04 8.764468E-07 9.842455E-01 1.575365E-02 2.083655E-11 4.362032E-28 0.000000E+00 0.000000E+00 0.000000E+00
2.572500E+04 8.728307E-07 9.843691E-01 1.563002E-02 2.035375E-11 4.163685E-28 0.000000E+00 0.000000E+00 0.000000E+00
2.577500E+04 8.672984E-07 9.844238E-01 1.557532E-02 2.009515E-11 4.050214E-28 0.000000E+00 0.000000E+00 0.000000E+00
2.582500E+04 8.666057E-07 9.846662E-01 1.533295E-02 1.921090E-11 3.707041E-28 0.000000E+00 0.000000E+00 0.000000E+00
2.587500E+04 8.626783E-07 9.847756E-01 1.522356E-02 1.879639E-11 3.548088E-28 0.000000E+00 0.000000E+00 0.000000E+00
2.592500E+04 8.556660E-07 9.847702E-01 1.522889E-02 1.874455E-11 3.516597E-28 0.000000E+00 0.000000E+00 0.000000E+00
2.597500E+04 8.525042E-07 9.849100E-01 1.508913E-02 1.823291E-11 3.326849E-28 0.000000E+00 0.000000E+00 0.000000E+00
2.602500E+04 8.499010E-07 9.850637E-01 1.493546E-02 1.770157E-11 3.139415E-28 0.000000E+00 0.000000E+00 0.000000E+00
2.607500E+04 8.453024E-07 9.851498E-01 1.484934E-02 1.736490E-11 0.000000E+00 0.000000E+00 0.000000E+00 0.000000E+00
2.612500E+04 8.325433E-07 9.849210E-01 1.507812E-02 1.799635E-11 3.209735E-28 0.000000E+00 0.000000E+00 0.000000E+00
2.617500E+04 8.252218E-07 9.848961E-01 1.510311E-02 1.800299E-11 3.198770E-28 0.000000E+00 0.000000E+00 0.000000E+00
