#NTIMES: 50
#NSTAGES 4
#TIMES[d]: 199.16 202.03 204.93 207.87 210.86 213.89 216.97 220.09 223.25 226.46 229.71 233.01 236.36 239.76 243.21 246.70 250.25 253.85 257.50 261.20 264.95 268.76 272.62 276.54 280.51 284.55 288.64 292.79 296.99 301.26 305.59 309.99 314.44 318.96 323.55 328.19 332.91 337.70 342.55 347.48 352.47 357.54 362.68 367.89 373.18 378.54 383.98 389.50 395.10 400.78
#
#TIME: 199.16
#NVEL 81
#vel_mid[km/s] s0 s1 s2 s3
31750.00 1.4243e-08 5.5097e-03 2.0448e-01 7.9001e-01
32250.00 1.0447e-08 4.3673e-03 1.8349e-01 8.1215e-01
32750.00 2.5054e-09 1.2146e-03 1.6468e-01 8.3410e-01
33250.00 1.5215e-09 8.4656e-04 1.4703e-01 8.5212e-01
33750.00 1.1427e-09 6.6314e-04 1.3090e-01 8.6844e-01
34250.00 9.2318e-10 5.1641e-04 1.1634e-01 8.8314e-01
34750.00 8.5615e-10 5.0124e-04 1.0332e-01 8.9618e-01
35250.00 1.0795e-09 7.0313e-04 9.1566e-02 9.0773e-01
35750.00 5.6915e-10 4.2659e-04 8.1046e-02 9.1853e-01
36250.00 1.2092e-10 1.3563e-04 7.0765e-02 9.2910e-01
36750.00 1.2480e-10 1.4645e-04 6.2557e-02 9.3730e-01
37250.00 8.4007e-11 1.2236e-04 5.4957e-02 9.4492e-01
37750.00 8.0328e-11 1.1793e-04 4.8282e-02 9.5160e-01
38250.00 9.2427e-11 1.2875e-04 4.2377e-02 9.5749e-01
38750.00 4.5163e-11 8.0409e-05 3.6963e-02 9.6296e-01
39250.00 3.4292e-11 5.7469e-05 3.2229e-02 9.6771e-01
39750.00 2.9549e-11 5.2919e-05 2.8148e-02 9.7180e-01
40250.00 2.1148e-11 3.8472e-05 2.4486e-02 9.7548e-01
#TIME: 210.86
#NVEL 81
#vel_mid[km/s] s0 s1 s2 s3
250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
1750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
2750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
3750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
4750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
5750.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6250.00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
6750.00 1.3834e-08 4.9856e-03 6.8688e-01 3.0813e-01
7250.00 1.8338e-08 6.5346e-03 7.0066e-01 2.9280e-01
7750.00 4.1164e-08 1.1433e-02 7.5757e-01 2.3100e-01
8250.00 2.0129e-07 3.5091e-02 7.8946e-01 1.7545e-01
8750.00 1.2974e-06 1.1544e-01 7.5399e-01 1.3057e-01
9250.00 4.8000e-06 2.2627e-01 6.7335e-01 1.0038e-01
9750.00 1.0244e-05 3.1158e-01 6.0981e-01 7.8603e-02
