#NTIMES: 99
#NSTAGES: 8
#TIMES[d]:    2.0   3.0   4.0   5.0   6.0   7.0   8.0   9.0  10.0  11.0  12.0  13.0  14.0  15.0  16.0  17.0  18.0  19.0  20.0  21.0  22.0  23.0  24.0  25.0  26.0  27.0  28.0  29.0  30.0  31.0  32.0  33.0  34.0  35.0  36.0  37.0  38.0  39.0  40.0  41.0  42.0  43.0  44.0  45.0  46.0  47.0  48.0  49.0  50.0  51.0  52.0  53.0  54.0  55.0  56.0  57.0  58.0  59.0  60.0  61.0  62.0  63.0  64.0  65.0  66.0  67.0  68.0  69.0  70.0  71.0  72.0  73.0  74.0  75.0  76.0  77.0  78.0  79.0  80.0  81.0  82.0  83.0  84.0  85.0  86.0  87.0  88.0  89.0  90.0  91.0  92.0  93.0  94.0  95.0  96.0  97.0  98.0  99.0 100.0
#
#TIME: 2.0
#NVEL: 100
#vel_mid[km/s]    ni0          ni1          ni2          ni3          ni4          ni5          ni6          ni7
   2.4000E+03   4.0769E-45   3.6222E-35   1.4227E-26   1.2685E-18   9.5098E-12   2.7371E-06   1.0462E-02   9.8954E-01
   2.6000E+03   8.5750E-45   7.6671E-35   3.0073E-26   2.5888E-18   1.7865E-11   4.4554E-06   1.3829E-02   9.8617E-01
   2.8000E+03   1.8394E-44   1.6542E-34   6.4759E-26   5.3754E-18   3.4055E-11   7.3299E-06   1.8378E-02   9.8161E-01
   3.0000E+03   4.0194E-44   3.6343E-34   1.4193E-25   1.1347E-17   6.5829E-11   1.2180E-05   2.4542E-02   9.7545E-01
   3.2000E+03   8.9358E-44   8.1201E-34   3.1627E-25   2.4324E-17   1.2892E-10   2.0425E-05   3.2906E-02   9.6707E-01
   3.4000E+03   2.0186E-43   1.8431E-33   7.1577E-25   5.2905E-17   2.5553E-10   3.4535E-05   4.4263E-02   9.5570E-01
   3.6000E+03   4.6239E-43   4.2418E-33   1.6424E-24   1.1657E-16   5.1190E-10   5.8796E-05   5.9655E-02   9.4029E-01
   3.8000E+03   1.0714E-42   9.8757E-33   3.8128E-24   2.5965E-16   1.0345E-09   1.0061E-04   8.0417E-02   9.1948E-01
   4.0000E+03   2.5034E-42   2.3194E-32   8.9319E-24   5.8330E-16   2.1038E-09   1.7266E-04   1.0818E-01   8.9164E-01
   4.2000E+03   5.8734E-42   5.4728E-32   2.1035E-23   1.3169E-15   4.2916E-09   2.9619E-04   1.4480E-01   8.5490E-01
   4.4000E+03   1.3775E-41   1.2919E-31   4.9602E-23   2.9765E-15   8.7483E-09   5.0608E-04   1.9213E-01   8.0736E-01
   4.6000E+03   3.2137E-41   3.0371E-31   1.1660E-22   6.7061E-15   1.7744E-08   8.5752E-04   2.5159E-01   7.4756E-01
   4.8000E+03   7.4256E-41   7.0785E-31   2.7202E-22   1.4995E-14   3.5651E-08   1.4342E-03   3.2353E-01   6.7504E-01
   5.0000E+03   1.6945E-40   1.6308E-30   6.2785E-22   3.3158E-14   7.0674E-08   2.3574E-03   4.0654E-01   5.9110E-01
   5.2500E+03   4.6720E-40   4.5520E-30   1.7572E-21   8.7831E-14   1.6257E-07   4.2606E-03   5.2020E-01   4.7554E-01
   5.5000E+03   1.2738E-39   1.2550E-29   4.8514E-21   2.2868E-13   3.6492E-07   7.4375E-03   6.3427E-01   3.5829E-01
   5.7500E+03   3.4899E-39   3.4655E-29   1.3368E-20   5.9061E-13   8.0431E-07   1.2575E-02   7.3603E-01   2.5139E-01
   6.0000E+03   9.8058E-39   9.7644E-29   3.7387E-20   1.5349E-12   1.7603E-06   2.0747E-02   8.1538E-01   1.6388E-01
   6.2500E+03   2.8844E-38   2.8623E-28   1.0807E-19   4.0805E-12   3.8782E-06   3.3741E-02   8.6703E-01   9.9229E-02
   6.5000E+03   9.0360E-38   8.8785E-28   3.2827E-19   1.1269E-11   8.7152E-06   5.4624E-02   8.8960E-01   5.5766E-02
   6.7500E+03   3.0823E-37   2.9770E-27   1.0694E-18   3.2915E-11   2.0263E-05   8.8819E-02   8.8229E-01   2.8875E-02
   7.0000E+03   1.2104E-36   1.1334E-26   3.8975E-18   1.0519E-10   4.9870E-05   1.4642E-01   8.4011E-01   1.3420E-02
   7.2500E+03   5.4590E-36   4.8906E-26   1.5866E-17   3.6660E-10   1.2905E-04   2.4174E-01   7.5270E-01   5.4301E-03
   7.5000E+03   2.7446E-35   2.3253E-25   7.0241E-17   1.3567E-09   3.4117E-04   3.8700E-01   6.1084E-01   1.8265E-03
   8.0000E+03   8.5962E-34   6.2496E-24   1.5605E-15   1.9339E-08   2.1714E-03   7.5501E-01   2.4273E-01   9.3227E-05
   8.5000E+03   4.1000E-32   2.3576E-22   4.4294E-14   3.0140E-07   1.1994E-02   9.4589E-01   4.2111E-02   1.2899E-06
   9.0000E+03   3.8574E-30   1.6574E-20   2.1643E-12   6.8480E-06   7.4039E-02   9.2243E-01   3.5222E-03   4.7108E-09
   9.5000E+03   7.1611E-28   2.1915E-18   1.8199E-10   2.1657E-04   4.5025E-01   5.4944E-01   9.4402E-05   2.4383E-12
   1.0000E+04   1.1360E-25   2.3451E-16   1.0918E-08   3.6713E-03   9.3607E-01   6.0255E-02   2.0079E-07   3.4702E-17
   1.0500E+04   2.3913E-23   3.1573E-14   7.0502E-07   4.8711E-02   9.4958E-01   1.7038E-03   4.5964E-11   1.7983E-23
   1.1000E+04   1.0603E-20   8.2209E-12   6.8235E-05   5.8598E-01   4.1395E-01   7.5532E-06   4.0761E-16   6.3336E-32
   1.1500E+04   1.4007E-18   6.5124E-10   1.6125E-03   9.8812E-01   1.0269E-02   5.3010E-10   8.7043E-24   5.0276E-44
   1.2000E+04   1.8259E-16   4.8737E-08   3.0113E-02   9.6979E-01   9.6893E-05   8.1298E-15   1.6913E-32   1.2745E-57
   1.2500E+04   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99
   1.3000E+04   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99
   1.3500E+04   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99
   1.4000E+04   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99
   1.4500E+04   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99
   1.5000E+04   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99
   1.5500E+04   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99
   1.6000E+04   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99
   1.6500E+04   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99
   1.7000E+04   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99   1.0000E-99
